year,value,Upper confidence interval,Lower confidence interval,metric,timeseries,Coastwide,Columbia River North to Canadian border,Newport Line North to Canadian border,Cape Mendocino North to Canadian border,Cape Mendocino South to Mexican border,Point Reyes South to Mexican border,Point Conception South to Mexican border,
1912,1437.554007,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1913,1448.282832,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1914,1982.056062,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1915,2321.004536,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1916,2893.858171,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1917,3108.645597,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1918,3124.81901,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1919,3334.140878,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1920,3412.866623,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1921,4537.300032,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1922,4544.572641,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1923,4574.764576,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1924,4676.773524,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1925,5244.897989,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1926,5855.018811,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1927,8105.22519,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1928,9417.086164,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1929,9538.809852,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1930,9650.250002,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1931,10443.69706,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1932,11842.08802,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1933,12889.05754,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1934,12889.69895,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1935,12969.88267,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1936,12986.78507,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1937,13744.51913,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1938,13780.03724,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1939,13993.05338,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1940,14091.03748,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1941,14091.05598,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1942,25896.25303,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1943,25896.44915,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1944,25896.72545,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1945,26200.93414,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1946,27306.82092,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1947,27307.14903,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1948,28452.99568,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1949,32768.84378,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1950,33382.98391,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1951,35963.52227,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1952,38814.81915,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1953,41271.52396,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1954,46887.39284,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1955,48453.06861,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1956,53089.69106,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1957,57415.67592,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1958,59196.21189,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1959,93076.67444,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1960,93808.91983,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1961,95276.86806,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1962,97193.22271,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1963,101185.7999,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1964,105393.8861,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1965,107402.7346,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1966,108488.9609,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1967,112218.3057,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1968,118429.3579,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1969,123403.7743,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1970,130892.7976,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1971,131359.5397,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1972,131371.5514,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1973,131553.4641,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1974,164149.9103,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1975,165461.601,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1976,165477.9409,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1977,165643.1338,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1978,165976.0184,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1979,166498.3043,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1980,166652.8238,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1981,166729.6216,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1982,166820.8018,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1983,169848.9195,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1984,169851.3026,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1985,169881.8078,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1986,169973.511,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1987,170468.7207,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1988,170644.1761,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1989,170672.915,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1990,171497.6394,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1991,171499.1751,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1992,171524.7107,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1993,171544.7547,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1994,171566.501,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1995,171568.6915,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1996,171571.5964,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1997,171573.0756,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1998,171573.6134,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1999,172689.6962,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
2000,172869.5797,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
2001,172870.0238,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
2002,172870.2869,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
2003,172870.6421,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
2004,172871.1478,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
2005,172871.7288,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
2007,172929.4619,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
2008,172930.4512,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
2009,172931.2061,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
2011,172931.2394,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
2003,27.73622194,NA,NA,Spp per 3900 indiv.,GF spp richness - coastwide,1,0,0,0,0,0,0,
2004,28.96234458,NA,NA,Spp per 3900 indiv.,GF spp richness - coastwide,1,0,0,0,0,0,0,
2005,29.96541127,NA,NA,Spp per 3900 indiv.,GF spp richness - coastwide,1,0,0,0,0,0,0,
2006,31.33321013,NA,NA,Spp per 3900 indiv.,GF spp richness - coastwide,1,0,0,0,0,0,0,
2007,31.57666731,NA,NA,Spp per 3900 indiv.,GF spp richness - coastwide,1,0,0,0,0,0,0,
2008,31.35832761,NA,NA,Spp per 3900 indiv.,GF spp richness - coastwide,1,0,0,0,0,0,0,
2009,32.69200263,NA,NA,Spp per 3900 indiv.,GF spp richness - coastwide,1,0,0,0,0,0,0,
2010,32.56390773,NA,NA,Spp per 3900 indiv.,GF spp richness - coastwide,1,0,0,0,0,0,0,
2011,32.21858766,NA,NA,Spp per 3900 indiv.,GF spp richness - coastwide,1,0,0,0,0,0,0,
2012,29.31773048,NA,NA,Spp per 3900 indiv.,GF spp richness - coastwide,1,0,0,0,0,0,0,
2003,25.31189426,NA,NA,Spp per 3900 indiv.,GF spp richness - north,0,0,0,1,0,0,0,
2004,27.77109407,NA,NA,Spp per 3900 indiv.,GF spp richness - north,0,0,0,1,0,0,0,
2005,29.11756413,NA,NA,Spp per 3900 indiv.,GF spp richness - north,0,0,0,1,0,0,0,
2006,27.94187265,NA,NA,Spp per 3900 indiv.,GF spp richness - north,0,0,0,1,0,0,0,
2007,28.19475383,NA,NA,Spp per 3900 indiv.,GF spp richness - north,0,0,0,1,0,0,0,
2008,29.07672802,NA,NA,Spp per 3900 indiv.,GF spp richness - north,0,0,0,1,0,0,0,
2009,29.57048102,NA,NA,Spp per 3900 indiv.,GF spp richness - north,0,0,0,1,0,0,0,
2010,30.70904827,NA,NA,Spp per 3900 indiv.,GF spp richness - north,0,0,0,1,0,0,0,
2011,28.68207003,NA,NA,Spp per 3900 indiv.,GF spp richness - north,0,0,0,1,0,0,0,
2012,28.14018824,NA,NA,Spp per 3900 indiv.,GF spp richness - north,0,0,0,1,0,0,0,
2003,29.72754233,NA,NA,Spp per 3900 indiv.,GF spp richness - south,0,0,0,0,1,0,0,
2004,29.94082675,NA,NA,Spp per 3900 indiv.,GF spp richness - south,0,0,0,0,1,0,0,
2005,30.66182509,NA,NA,Spp per 3900 indiv.,GF spp richness - south,0,0,0,0,1,0,0,
2006,34.11882344,NA,NA,Spp per 3900 indiv.,GF spp richness - south,0,0,0,0,1,0,0,
2007,34.35453982,NA,NA,Spp per 3900 indiv.,GF spp richness - south,0,0,0,0,1,0,0,
2008,33.23241246,NA,NA,Spp per 3900 indiv.,GF spp richness - south,0,0,0,0,1,0,0,
2009,35.25599167,NA,NA,Spp per 3900 indiv.,GF spp richness - south,0,0,0,0,1,0,0,
2010,34.08747217,NA,NA,Spp per 3900 indiv.,GF spp richness - south,0,0,0,0,1,0,0,
2011,35.12345059,NA,NA,Spp per 3900 indiv.,GF spp richness - south,0,0,0,0,1,0,0,
2012,30.28495281,NA,NA,Spp per 3900 indiv.,GF spp richness - south,0,0,0,0,1,0,0,
2003,0.699968348,NA,NA,1-lambda,GF-Simp - coastwide,1,0,0,0,0,0,0,
2004,0.715730557,NA,NA,1-lambda,GF-Simp - coastwide,1,0,0,0,0,0,0,
2005,0.705382273,NA,NA,1-lambda,GF-Simp - coastwide,1,0,0,0,0,0,0,
2006,0.680352172,NA,NA,1-lambda,GF-Simp - coastwide,1,0,0,0,0,0,0,
2007,0.694070031,NA,NA,1-lambda,GF-Simp - coastwide,1,0,0,0,0,0,0,
2008,0.66815576,NA,NA,1-lambda,GF-Simp - coastwide,1,0,0,0,0,0,0,
2009,0.668511117,NA,NA,1-lambda,GF-Simp - coastwide,1,0,0,0,0,0,0,
2010,0.711317299,NA,NA,1-lambda,GF-Simp - coastwide,1,0,0,0,0,0,0,
2011,0.7182424,NA,NA,1-lambda,GF-Simp - coastwide,1,0,0,0,0,0,0,
2012,0.680052133,NA,NA,1-lambda,GF-Simp - coastwide,1,0,0,0,0,0,0,
2003,0.711487091,NA,NA,1-lambda,GF-Simp - north,0,0,0,1,0,0,0,
2004,0.748934299,NA,NA,1-lambda,GF-Simp - north,0,0,0,1,0,0,0,
2005,0.729068626,NA,NA,1-lambda,GF-Simp - north,0,0,0,1,0,0,0,
2006,0.688104117,NA,NA,1-lambda,GF-Simp - north,0,0,0,1,0,0,0,
2007,0.692620703,NA,NA,1-lambda,GF-Simp - north,0,0,0,1,0,0,0,
2008,0.674032907,NA,NA,1-lambda,GF-Simp - north,0,0,0,1,0,0,0,
2009,0.675376759,NA,NA,1-lambda,GF-Simp - north,0,0,0,1,0,0,0,
2010,0.732461778,NA,NA,1-lambda,GF-Simp - north,0,0,0,1,0,0,0,
2011,0.746446861,NA,NA,1-lambda,GF-Simp - north,0,0,0,1,0,0,0,
2012,0.694501779,NA,NA,1-lambda,GF-Simp - north,0,0,0,1,0,0,0,
2003,0.675304607,NA,NA,1-lambda,GF-Simp - south,0,0,0,0,1,0,0,
2004,0.659639632,NA,NA,1-lambda,GF-Simp - south,0,0,0,0,1,0,0,
2005,0.663039239,NA,NA,1-lambda,GF-Simp - south,0,0,0,0,1,0,0,
2006,0.667267315,NA,NA,1-lambda,GF-Simp - south,0,0,0,0,1,0,0,
2007,0.696884563,NA,NA,1-lambda,GF-Simp - south,0,0,0,0,1,0,0,
2008,0.65884091,NA,NA,1-lambda,GF-Simp - south,0,0,0,0,1,0,0,
2009,0.657628713,NA,NA,1-lambda,GF-Simp - south,0,0,0,0,1,0,0,
2010,0.678110812,NA,NA,1-lambda,GF-Simp - south,0,0,0,0,1,0,0,
2011,0.67222716,NA,NA,1-lambda,GF-Simp - south,0,0,0,0,1,0,0,
2012,0.658615731,NA,NA,1-lambda,GF-Simp - south,0,0,0,0,1,0,0,
1996,-1.926220238,NA,NA,Anomaly,Cop Spp Rich Anom - summer,0,0,1,0,0,0,0,
1997,-0.632886905,NA,NA,Anomaly,Cop Spp Rich Anom - summer,0,0,1,0,0,0,0,
1998,4.373779762,NA,NA,Anomaly,Cop Spp Rich Anom - summer,0,0,1,0,0,0,0,
1999,-2.826220238,NA,NA,Anomaly,Cop Spp Rich Anom - summer,0,0,1,0,0,0,0,
2000,-3.606220238,NA,NA,Anomaly,Cop Spp Rich Anom - summer,0,0,1,0,0,0,0,
2001,-1.276220238,NA,NA,Anomaly,Cop Spp Rich Anom - summer,0,0,1,0,0,0,0,
2002,-1.350029762,NA,NA,Anomaly,Cop Spp Rich Anom - summer,0,0,1,0,0,0,0,
2003,1.673779762,NA,NA,Anomaly,Cop Spp Rich Anom - summer,0,0,1,0,0,0,0,
2004,1.240446428,NA,NA,Anomaly,Cop Spp Rich Anom - summer,0,0,1,0,0,0,0,
2005,4.140446429,NA,NA,Anomaly,Cop Spp Rich Anom - summer,0,0,1,0,0,0,0,
2006,2.473779762,NA,NA,Anomaly,Cop Spp Rich Anom - summer,0,0,1,0,0,0,0,
2007,-0.876220238,NA,NA,Anomaly,Cop Spp Rich Anom - summer,0,0,1,0,0,0,0,
2008,-1.009553571,NA,NA,Anomaly,Cop Spp Rich Anom - summer,0,0,1,0,0,0,0,
2009,-0.892886905,NA,NA,Anomaly,Cop Spp Rich Anom - summer,0,0,1,0,0,0,0,
2010,2.873779762,NA,NA,Anomaly,Cop Spp Rich Anom - summer,0,0,1,0,0,0,0,
2011,-2.379553571,NA,NA,Anomaly,Cop Spp Rich Anom - summer,0,0,1,0,0,0,0,
2012,-1.526220238,NA,NA,Anomaly,Cop Spp Rich Anom - summer,0,0,1,0,0,0,0,
2013,-3.159553571,NA,NA,Anomaly,Cop Spp Rich Anom - summer,0,0,1,0,0,0,0,
1996,-1.838568376,NA,NA,Anomaly,Cop Spp Rich Anom- winter,0,0,1,0,0,0,0,
1997,-0.16108313,NA,NA,Anomaly,Cop Spp Rich Anom- winter,0,0,1,0,0,0,0,
1998,0.940900997,NA,NA,Anomaly,Cop Spp Rich Anom- winter,0,0,1,0,0,0,0,
1999,-0.886633089,NA,NA,Anomaly,Cop Spp Rich Anom- winter,0,0,1,0,0,0,0,
2000,-2.445214111,NA,NA,Anomaly,Cop Spp Rich Anom- winter,0,0,1,0,0,0,0,
2001,-0.553604497,NA,NA,Anomaly,Cop Spp Rich Anom- winter,0,0,1,0,0,0,0,
2002,1.43573827,NA,NA,Anomaly,Cop Spp Rich Anom- winter,0,0,1,0,0,0,0,
2003,2.279728836,NA,NA,Anomaly,Cop Spp Rich Anom- winter,0,0,1,0,0,0,0,
2004,1.388119222,NA,NA,Anomaly,Cop Spp Rich Anom- winter,0,0,1,0,0,0,0,
2005,0.554785889,NA,NA,Anomaly,Cop Spp Rich Anom- winter,0,0,1,0,0,0,0,
2006,0.977805759,NA,NA,Anomaly,Cop Spp Rich Anom- winter,0,0,1,0,0,0,0,
2007,-1.730928397,NA,NA,Anomaly,Cop Spp Rich Anom- winter,0,0,1,0,0,0,0,
2008,-1.438860908,NA,NA,Anomaly,Cop Spp Rich Anom- winter,0,0,1,0,0,0,0,
2009,-1.302356968,NA,NA,Anomaly,Cop Spp Rich Anom- winter,0,0,1,0,0,0,0,
2010,2.599007937,NA,NA,Anomaly,Cop Spp Rich Anom- winter,0,0,1,0,0,0,0,
2011,-0.088071254,NA,NA,Anomaly,Cop Spp Rich Anom- winter,0,0,1,0,0,0,0,
2012,-0.159499826,NA,NA,Anomaly,Cop Spp Rich Anom- winter,0,0,1,0,0,0,0,
2013,0.224173281,NA,NA,Anomaly,Cop Spp Rich Anom- winter,0,0,1,0,0,0,0,
1996,0.645661906,NA,NA,1-lambda,Cop Simp NCC - summer,0,0,1,0,0,0,0,
1997,0.631317214,NA,NA,1-lambda,Cop Simp NCC - summer,0,0,1,0,0,0,0,
1998,0.764455635,NA,NA,1-lambda,Cop Simp NCC - summer,0,0,1,0,0,0,0,
1999,0.572353598,NA,NA,1-lambda,Cop Simp NCC - summer,0,0,1,0,0,0,0,
2000,0.431524564,NA,NA,1-lambda,Cop Simp NCC - summer,0,0,1,0,0,0,0,
2001,0.654797929,NA,NA,1-lambda,Cop Simp NCC - summer,0,0,1,0,0,0,0,
2002,0.636390473,NA,NA,1-lambda,Cop Simp NCC - summer,0,0,1,0,0,0,0,
2003,0.674696458,NA,NA,1-lambda,Cop Simp NCC - summer,0,0,1,0,0,0,0,
2004,0.704670643,NA,NA,1-lambda,Cop Simp NCC - summer,0,0,1,0,0,0,0,
2005,0.739247312,NA,NA,1-lambda,Cop Simp NCC - summer,0,0,1,0,0,0,0,
2006,0.623731524,NA,NA,1-lambda,Cop Simp NCC - summer,0,0,1,0,0,0,0,
2007,0.694313154,NA,NA,1-lambda,Cop Simp NCC - summer,0,0,1,0,0,0,0,
2008,0.586454123,NA,NA,1-lambda,Cop Simp NCC - summer,0,0,1,0,0,0,0,
2009,0.656567526,NA,NA,1-lambda,Cop Simp NCC - summer,0,0,1,0,0,0,0,
2010,0.690243025,NA,NA,1-lambda,Cop Simp NCC - summer,0,0,1,0,0,0,0,
2011,0.628914791,NA,NA,1-lambda,Cop Simp NCC - summer,0,0,1,0,0,0,0,
2012,0.58979531,NA,NA,1-lambda,Cop Simp NCC - summer,0,0,1,0,0,0,0,
2013,0.611253744,NA,NA,1-lambda,Cop Simp NCC - summer,0,0,1,0,0,0,0,
1997,0.607006851,NA,NA,1-lambda,Cop Simp NCC - winter,0,0,1,0,0,0,0,
1998,0.765504151,NA,NA,1-lambda,Cop Simp NCC - winter,0,0,1,0,0,0,0,
1999,0.65221444,NA,NA,1-lambda,Cop Simp NCC - winter,0,0,1,0,0,0,0,
2000,0.571972631,NA,NA,1-lambda,Cop Simp NCC - winter,0,0,1,0,0,0,0,
2001,0.575119901,NA,NA,1-lambda,Cop Simp NCC - winter,0,0,1,0,0,0,0,
2002,0.659154312,NA,NA,1-lambda,Cop Simp NCC - winter,0,0,1,0,0,0,0,
2003,0.693823761,NA,NA,1-lambda,Cop Simp NCC - winter,0,0,1,0,0,0,0,
2004,0.773882091,NA,NA,1-lambda,Cop Simp NCC - winter,0,0,1,0,0,0,0,
2005,0.72629196,NA,NA,1-lambda,Cop Simp NCC - winter,0,0,1,0,0,0,0,
2006,0.606034031,NA,NA,1-lambda,Cop Simp NCC - winter,0,0,1,0,0,0,0,
2007,0.586085757,NA,NA,1-lambda,Cop Simp NCC - winter,0,0,1,0,0,0,0,
2008,0.526636868,NA,NA,1-lambda,Cop Simp NCC - winter,0,0,1,0,0,0,0,
2009,0.637484391,NA,NA,1-lambda,Cop Simp NCC - winter,0,0,1,0,0,0,0,
2010,0.715526136,NA,NA,1-lambda,Cop Simp NCC - winter,0,0,1,0,0,0,0,
2011,0.652922886,NA,NA,1-lambda,Cop Simp NCC - winter,0,0,1,0,0,0,0,
2012,0.617126402,NA,NA,1-lambda,Cop Simp NCC - winter,0,0,1,0,0,0,0,
2013,0.680507634,NA,NA,1-lambda,Cop Simp NCC - winter,0,0,1,0,0,0,0,
2004,7.803278689,NA,NA,No. of species,Ichth CC Spr Spp Rich,0,0,0,0,0,1,0,
2005,9.46969697,NA,NA,No. of species,Ichth CC Spr Spp Rich,0,0,0,0,0,1,0,
2006,7.3125,NA,NA,No. of species,Ichth CC Spr Spp Rich,0,0,0,0,0,1,0,
2007,6.263157895,NA,NA,No. of species,Ichth CC Spr Spp Rich,0,0,0,0,0,1,0,
2008,6.981132075,NA,NA,No. of species,Ichth CC Spr Spp Rich,0,0,0,0,0,1,0,
2009,6.951612903,NA,NA,No. of species,Ichth CC Spr Spp Rich,0,0,0,0,0,1,0,
2010,6.238095238,NA,NA,No. of species,Ichth CC Spr Spp Rich,0,0,0,0,0,1,0,
2011,9.508196721,NA,NA,No. of species,Ichth CC Spr Spp Rich,0,0,0,0,0,1,0,
2004,6.515151515,NA,NA,No. of species,Ichth CC Sum Spp Rich,0,0,0,0,0,1,0,
2005,5.03030303,NA,NA,No. of species,Ichth CC Sum Spp Rich,0,0,0,0,0,1,0,
2006,5.787878788,NA,NA,No. of species,Ichth CC Sum Spp Rich,0,0,0,0,0,1,0,
2007,4.348484848,NA,NA,No. of species,Ichth CC Sum Spp Rich,0,0,0,0,0,1,0,
2008,5.318181818,NA,NA,No. of species,Ichth CC Sum Spp Rich,0,0,0,0,0,1,0,
2009,6.046153846,NA,NA,No. of species,Ichth CC Sum Spp Rich,0,0,0,0,0,1,0,
2010,6.727272727,NA,NA,No. of species,Ichth CC Sum Spp Rich,0,0,0,0,0,1,0,
2011,5.181818182,NA,NA,No. of species,Ichth CC Sum Spp Rich,0,0,0,0,0,1,0,
2004,0.733801714,NA,NA,1-lambda,Ichth CC Spr Simp,0,0,0,0,0,1,0,
2005,0.542994718,NA,NA,1-lambda,Ichth CC Spr Simp,0,0,0,0,0,1,0,
2006,0.646987185,NA,NA,1-lambda,Ichth CC Spr Simp,0,0,0,0,0,1,0,
2007,0.4891045,NA,NA,1-lambda,Ichth CC Spr Simp,0,0,0,0,0,1,0,
2008,0.536229866,NA,NA,1-lambda,Ichth CC Spr Simp,0,0,0,0,0,1,0,
2009,0.575578637,NA,NA,1-lambda,Ichth CC Spr Simp,0,0,0,0,0,1,0,
2010,0.693236649,NA,NA,1-lambda,Ichth CC Spr Simp,0,0,0,0,0,1,0,
2011,0.672313284,NA,NA,1-lambda,Ichth CC Spr Simp,0,0,0,0,0,1,0,
2004,0.634735501,NA,NA,1-lambda,Ichth CC Sum Simp,0,0,0,0,0,1,0,
2005,0.551592183,NA,NA,1-lambda,Ichth CC Sum Simp,0,0,0,0,0,1,0,
2006,0.559701927,NA,NA,1-lambda,Ichth CC Sum Simp,0,0,0,0,0,1,0,
2007,0.539742647,NA,NA,1-lambda,Ichth CC Sum Simp,0,0,0,0,0,1,0,
2008,0.59671445,NA,NA,1-lambda,Ichth CC Sum Simp,0,0,0,0,0,1,0,
2009,0.609117446,NA,NA,1-lambda,Ichth CC Sum Simp,0,0,0,0,0,1,0,
2010,0.669906874,NA,NA,1-lambda,Ichth CC Sum Simp,0,0,0,0,0,1,0,
2011,0.62888094,NA,NA,1-lambda,Ichth CC Sum Simp,0,0,0,0,0,1,0,
2004,7.166666667,NA,NA,No. of species,Ichth OR Spr Spp Rich,0,0,1,0,0,0,0,
2005,6.909090909,NA,NA,No. of species,Ichth OR Spr Spp Rich,0,0,1,0,0,0,0,
2006,7.222222222,NA,NA,No. of species,Ichth OR Spr Spp Rich,0,0,1,0,0,0,0,
2007,5.333333333,NA,NA,No. of species,Ichth OR Spr Spp Rich,0,0,1,0,0,0,0,
2008,5,NA,NA,No. of species,Ichth OR Spr Spp Rich,0,0,1,0,0,0,0,
2009,4.5,NA,NA,No. of species,Ichth OR Spr Spp Rich,0,0,1,0,0,0,0,
2010,4.444444444,NA,NA,No. of species,Ichth OR Spr Spp Rich,0,0,1,0,0,0,0,
2011,5.222222222,NA,NA,No. of species,Ichth OR Spr Spp Rich,0,0,1,0,0,0,0,
2005,3.25,NA,NA,No. of species,Ichth OR Sum Spp Rich,0,0,1,0,0,0,0,
2006,2.666666667,NA,NA,No. of species,Ichth OR Sum Spp Rich,0,0,1,0,0,0,0,
2007,2.111111111,NA,NA,No. of species,Ichth OR Sum Spp Rich,0,0,1,0,0,0,0,
2008,3.444444444,NA,NA,No. of species,Ichth OR Sum Spp Rich,0,0,1,0,0,0,0,
2009,2.4,NA,NA,No. of species,Ichth OR Sum Spp Rich,0,0,1,0,0,0,0,
2010,1.923076923,NA,NA,No. of species,Ichth OR Sum Spp Rich,0,0,1,0,0,0,0,
2011,1.111111111,NA,NA,No. of species,Ichth OR Sum Spp Rich,0,0,1,0,0,0,0,
2004,0.532806175,NA,NA,1-lambda,Ichth OR Spr Simp,0,0,1,0,0,0,0,
2005,0.518044577,NA,NA,1-lambda,Ichth OR Spr Simp,0,0,1,0,0,0,0,
2006,0.563990642,NA,NA,1-lambda,Ichth OR Spr Simp,0,0,1,0,0,0,0,
2007,0.626605973,NA,NA,1-lambda,Ichth OR Spr Simp,0,0,1,0,0,0,0,
2008,0.529619846,NA,NA,1-lambda,Ichth OR Spr Simp,0,0,1,0,0,0,0,
2009,0.535855975,NA,NA,1-lambda,Ichth OR Spr Simp,0,0,1,0,0,0,0,
2010,0.405787212,NA,NA,1-lambda,Ichth OR Spr Simp,0,0,1,0,0,0,0,
